gene,name
b2264,menD
b0586,entF
b3607,cysE
b4254,argI
b3187,ispB
b2366,dsdA
b4471,tdcG
b0907,serC
b0662,ubiF
b2797,sdaB
b1281,pyrF
b1814,sdaA
b2907,ubiH
b0893,serS
b0350,mhpD
b3116,tdcC
b3843,ubiD
b2796,sdaC
b2311,ubiX
b3835,ubiB
b3089,sstT
b2965,speC
b0355,frmB
b2154,yeiG
b0693,speF
b1744,astE
b1746,astD
b3642,pyrE
b2263,menH
b2373,oxc
b1387,paaZ
b3368,cysG
b1394,paaG
b1014,putA
b3281,aroE
b3390,aroK
b0388,aroL
b3939,metB
b0386,proC
b1388,paaA
b1981,shiA
b1389,paaB
b1206,dauA
b1392,paaE
b1584,speG
b1390,paaC
b1600,mdtJ
b1391,paaD
b1599,mdtI
b3908,sodA
b1398,paaK
b1656,sodB
b1646,sodC
b1525,sad
b0133,panC
b1278,pgpB
b2661,gabD
b2260,menE
b0087,mraY
b2261,menC
b2762,cysH
b0722,sdhD
b0723,sdhA
b1489,dosP
b0724,sdhB
b0721,sdhC
b0115,aceF
b0729,sucD
b0728,sucC
b0114,aceE
b1521,uxaB
b1638,pdxH
b2464,talA
b0052,pdxA
b0008,talB
b3062,ttdB
b2564,pdxJ
b3061,ttdA
b3063,ttdT
b0368,tauD
b0766,ybhA
b3790,wecD
b3791,wecE
b2320,pdxB
b2038,rfbC
b3546,eptB
b2040,rfbD
b2041,rfbB
b3916,pfkA
b3788,rffG
b1723,pfkB
b0915,lpxK
b3951,pflD
b3137,kbaY
b3132,kbaZ
b2095,gatZ
b3952,pflC
b2096,gatY
b3176,glmM
b2913,serA
b0166,dapD
b4025,pgi
b2480,bcp
b0068,thiB
b2926,pgk
b0066,thiQ
b0767,pgl
b0067,thiP
b3385,gph
b3616,tdh
b3772,ilvA
b4395,ytjC
b3117,tdcB
b0755,gpmA
b3612,gpmM
b1719,thrS
b3823,rhtC
b2690,yqaB
b3992,thiF
b0688,pgm
b0418,pgpA
b3990,thiH
b1912,pgsA
